Batch,Height,Width,Onset Prediction,Offset Prediction,Frame Prediction,Velocity Prediction
0,0,0,0.0012843083,1.4285517e-05,0.00013982209,3.515625,1.7967193e-26
0,0,1,0.0007321812,4.4346274e-05,0.00024923251,4.5703125,0.24202645
0,0,2,0.0009217804,1.0699397e-05,0.0001634647,0.8066406,6.0963607e-06
0,0,3,0.0012065897,3.8528935e-05,0.0006563728,3.7714844,1.0832235e-14
0,0,4,0.0020667946,1.9373938e-05,0.0016743994,3.2050781,0.99962735
0,0,5,0.0008263576,2.1112483e-05,0.0008761799,6.140625,3.6755467e-20
0,0,6,0.0013147244,1.6832411e-05,0.0014214043,1.7441406,3.872793e-10
0,0,7,0.0012545944,2.487649e-05,0.0010691264,5.3671875,3.6088072e-25
0,0,8,0.00055711175,1.9679026e-05,0.00035697065,4.8398438,4.725135e-12
0,0,9,0.0008459375,3.5633544e-05,0.00080408587,2.8417969,0.9999995
0,0,10,0.0007069057,2.2827999e-05,0.0014048677,3.0742188,1.0
0,0,11,0.0024534282,1.6314541e-05,0.0013723688,2.7871094,1.0571701e-07
0,0,12,0.0020427648,3.5633544e-05,0.0060035964,5.421875,0.45868206
0,0,13,0.0020269,7.311255e-05,0.0010122862,2.6132812,0.11143445
0,0,14,0.0014381353,0.00012632043,0.0030396495,3.2089844,1.6681768e-13
0,0,15,0.0011695102,0.00014202364,0.0009584648,4.3632812,0.99922675
0,0,16,0.0010691264,6.452215e-05,0.004198795,5.1796875,1.3738256e-05
0,0,17,0.001146916,4.7206227e-05,0.0022783307,4.2539062,2.200702e-15
0,0,18,0.00094730896,3.0479141e-05,0.0024438866,3.2714844,0.00019260286
0,0,19,0.0015669889,5.9209167e-05,0.005842605,4.6757812,0.0021074724
0,0,20,0.0012065897,0.00014768039,0.00044945232,3.109375,0.0036358088
0,0,21,0.00039357558,4.264747e-05,0.0012065897,2.6796875,2.1215083e-25
0,0,22,0.001107339,4.8704638e-05,0.002296159,2.921875,1.2539222e-15
0,0,23,0.0009773504,0.00015720344,0.0013939502,3.234375,3.482016e-16
0,0,24,0.0025909794,4.13354e-05,0.005384938,4.9179688,1.0
0,0,25,0.002560871,0.00017674513,0.0005420927,4.0195312,3.6810834e-23
0,0,26,0.0022783307,0.0002913701,0.0013777325,5.0625,1.0
0,0,27,0.001107339,0.000965975,0.0006538155,4.4765625,0.026405517
0,0,28,0.0012743262,0.0008263576,0.014559519,4.7421875,1.0
0,0,29,0.0005953406,0.00092538487,0.014728614,4.6210938,0.84683114
0,0,30,0.002822833,0.00037850364,0.00784624,3.7675781,1.0
0,0,31,0.0017546143,0.00053369283,0.040999025,5.5742188,1.0
0,0,32,0.0012207952,0.00039977103,0.0010691264,3.8789062,7.602479e-05
0,0,33,0.0011879056,0.00016474657,0.0067188703,4.6328125,1.0
0,0,34,0.0012255675,0.00025714198,0.022414217,3.6132812,0.93306583
0,0,35,0.0013250224,0.00074661145,0.006538825,4.3164062,1.0
0,0,36,0.0033115188,0.0004583129,0.05174954,4.015625,1.9667665e-09
0,0,37,0.0034970103,0.0009735438,0.009974921,4.796875,2.8020935e-19
0,0,38,0.01081845,0.003004343,0.04377274,3.7695312,1.09697424e-08
0,0,39,0.0019646615,0.0050016725,0.013689479,5.796875,1.0
0,0,40,0.010288302,0.0048674173,0.44441408,4.7070312,9.895332e-06
0,0,41,0.0021074724,0.010986943,0.06730108,4.21875,1.0
0,0,42,0.0035243407,0.004829722,0.08035746,4.734375,4.0770218e-19
0,0,43,0.0021405893,0.006589772,0.03277498,4.296875,9.818327e-06
0,0,44,0.0022606407,0.0027900373,0.01572399,4.5195312,1.0
0,0,45,0.0068504796,0.0015307452,0.017509557,4.2539062,1.2698399e-09
0,0,46,0.00598033,0.0013354007,0.096535325,4.4921875,7.782753e-05
0,0,47,0.0006667023,0.003678509,0.057599206,5.3320312,5.8805257e-12
0,0,48,0.001294368,0.0043315017,0.12581532,3.2226562,2.0942635e-20
0,0,49,0.0014325365,0.0035106493,0.013689479,3.4433594,0.9960083
0,0,50,0.0033504234,0.005159624,0.028707078,3.6972656,0.570451
0,0,51,0.001028211,0.0036216856,0.008478402,3.9941406,0.0009290034
0,0,52,0.0029349518,0.0018315102,0.080936715,3.9726562,3.7548075e-21
0,0,53,0.0013777325,0.0045032725,0.03352616,2.953125,3.1704118e-16
0,0,54,0.006488269,0.0057525453,0.031321116,3.7246094,2.3873781e-06
0,0,55,0.0072327633,0.0029121784,0.014009565,3.2382812,1.2029638e-05
0,0,56,0.0062655336,0.002621441,0.013325147,2.7441406,1.0
0,0,57,0.024007745,0.003004343,0.0349467,1.9003906,1.1468766e-24
0,0,58,0.01840489,0.0016743994,0.08961382,3.1621094,1.8124109e-07
0,0,59,0.02931223,0.0030873693,0.06255973,3.2070312,0.0023688741
0,0,60,0.0069306716,0.0029810327,0.111627996,3.1191406,0.9534487
0,0,61,0.006666932,0.0034030052,0.02120612,2.328125,1.0
0,0,62,0.0054059,0.005708034,0.08866235,3.0683594,1.0
0,0,63,0.003469891,0.007066401,0.031202821,3.6640625,0.9999725
0,0,64,0.023870835,0.0013993982,0.23318209,3.4726562,2.7619474e-11
0,0,65,0.016403032,0.008156248,0.06325052,2.6464844,1.336388e-07
0,0,66,0.009974921,0.0077555375,0.13649325,3.7714844,0.9995216
0,0,67,0.015543648,0.0073743653,0.0849471,2.5273438,0.97288233
0,0,68,0.015906392,0.004556114,0.047780067,2.7851562,2.9277413e-13
0,0,69,0.02364434,0.0029810327,0.06524657,1.6796875,1.8795289e-12
0,0,70,0.02288984,0.0015978455,0.0847954,2.953125,5.36875e-07
0,0,71,0.03277498,0.0023504829,0.12158142,2.078125,4.146174e-11
0,0,72,0.008315778,0.0018821859,0.117572136,2.8808594,1.3271931e-14
0,0,73,0.008283626,0.0019646615,0.062904246,3.8574219,1.18860825e-07
0,0,74,0.0038393948,0.0009622126,0.028598359,4.3515625,0.96653706
0,0,75,0.0032224846,0.0014895174,0.028328314,4.0195312,1.1716082e-25
0,0,76,0.0063143647,0.0005703157,0.09982067,2.0,2.522364e-17
0,0,77,0.0045738644,0.0009584648,0.025613915,2.4160156,1.3602883e-06
0,0,78,0.002434382,0.0015129383,0.047958106,3.8378906,3.0718187e-05
0,0,79,0.0025409926,0.0004373344,0.04377274,3.0332031,2.0390168e-29
0,0,80,0.0025409926,0.0002913701,0.004150081,4.1445312,0.9952077
0,0,81,0.001867566,0.0001673405,0.006241259,2.0976562,0.99973875
0,0,82,0.0031236485,6.814872e-05,0.0072047696,6.5429688,1.43072425e-08
0,0,83,0.0008934456,4.7576454e-05,0.00189692,3.2421875,0.0012545944
0,0,84,0.0012113064,2.2827999e-05,0.0026834398,6.96875,0.99994266
0,0,85,0.00046371281,3.065452e-06,0.00021318758,8.71875,0.041539967
0,0,86,0.00045121065,3.4736108e-06,0.00010804956,3.90625,0.99999833
0,0,87,0.00043904534,3.393145e-06,6.1088555e-05,4.671875,0.002157342
0,1,0,0.0003379794,5.4222187e-06,1.2805474e-05,0.34179688,1.0
0,1,1,0.00012436225,1.43975585e-05,1.9525885e-05,1.5195312,1.0
0,1,2,0.0003353501,8.597224e-06,1.8486757e-05,-0.08441162,1.0
0,1,3,0.00031015597,7.951138e-06,8.957789e-05,1.9472656,0.7606506
0,1,4,0.0013198635,7.4112795e-06,0.00011591935,1.0029297,1.5568085e-31
0,1,5,0.00044595622,1.165953e-05,4.504459e-05,2.3886719,5.699601e-12
0,1,6,0.00049168157,8.203532e-06,0.00021824206,0.122802734,9.160092e-13
0,1,7,0.0004878571,1.184314e-05,7.905303e-05,1.3574219,1.0
0,1,8,0.0008459375,6.908076e-06,3.676463e-05,0.79248047,1.5298912e-17
0,1,9,0.0003668626,1.30071285e-05,8.818923e-05,1.0458984,1.0
0,1,10,0.0005953406,1.6964426e-05,0.00049168157,1.296875,1.0
0,1,11,0.0008830459,4.710909e-06,0.00034196206,0.8515625,5.7668577e-25
0,1,12,0.001957017,1.7097478e-05,0.00068785116,1.9648438,1.0
0,1,13,0.0013939502,1.6701422e-05,0.00014202364,0.97265625,0.0025114636
0,1,14,0.0014325365,6.452215e-05,0.00035976936,1.8427734,1.4371997e-17
0,1,15,0.0010775025,6.144174e-06,0.00028462242,1.8232422,0.99985796
0,1,16,0.001044386,2.161314e-05,0.0009436192,2.0117188,3.9909595e-18
0,1,17,0.00086936733,2.1953489e-05,0.00027372167,1.9267578,0.023870835
0,1,18,0.0005112579,1.6061611e-05,0.00051325787,1.3183594,1.0
0,1,19,0.0008328334,9.590888e-06,0.00075246283,1.7851562,1.0
0,1,20,0.00062633416,1.6314541e-05,6.452215e-05,0.80371094,1.0
0,1,21,0.0001168284,3.9442584e-05,0.0001634647,1.3037109,1.0
0,1,22,0.0013617034,9.314592e-05,0.0011116682,1.8339844,6.224145e-11
0,1,23,0.0015731123,0.00012632043,0.0005861162,1.5537109,1.0
0,1,24,0.0038393948,4.64744e-05,0.0005072813,2.0585938,1.0
0,1,25,0.0030160663,2.3187478e-05,6.657017e-05,1.8710938,1.0
0,1,26,0.006241259,0.00010472557,0.0001866782,2.671875,1.0
0,1,27,0.0013354007,4.8704638e-05,0.00022341637,2.2617188,3.872793e-10
0,1,28,0.0020033333,6.2050494e-05,0.0029121784,2.1777344,2.0218904e-07
0,1,29,0.0013564018,0.000110611596,0.002434382,2.3808594,1.0
0,1,30,0.0016941032,0.00010472557,0.0027576222,1.9775391,1.0
0,1,31,0.00072648755,4.4694072e-05,0.005842605,2.7988281,9.184853e-08
0,1,32,0.0011925492,5.562207e-05,0.00017674513,1.7714844,1.0
0,1,33,0.00037118548,0.0001168284,0.00086260785,2.2851562,1.0
0,1,34,0.0028671585,0.0002551414,0.0075479234,2.2949219,0.9869292
0,1,35,0.004248079,0.00030061638,0.0019418168,2.296875,2.908344e-05
0,1,36,0.005708034,0.00036829794,0.0061929906,2.5371094,1.0
0,1,37,0.0017752604,0.00021654404,0.0020427648,2.3027344,0.99992454
0,1,38,0.017242778,0.0010608152,0.011419615,2.3164062,1.0
0,1,39,0.0009217804,0.00028910325,0.0048109833,3.125,0.0
0,1,40,0.0037654133,0.0007885458,0.08803311,2.8769531,1.0
0,1,41,0.0019267347,0.0012018913,0.0068504796,2.53125,1.0
0,1,42,0.0019043302,0.0006745559,0.032589745,2.6796875,0.85883707
0,1,43,0.0007321812,0.00055494095,0.009821794,2.5097656,2.3525062e-13
0,1,44,0.00089693937,0.0002551414,0.0047000605,3.1132812,1.0
0,1,45,0.0036358088,0.00064873084,0.0042315875,2.5,6.639677e-36
0,1,46,0.0019418168,0.0009811718,0.055310648,2.1210938,1.0
0,1,47,0.0013670257,0.00066151744,0.01461567,2.5996094,2.0237279e-14
0,1,48,0.0018102111,0.0019646615,0.017644463,2.4570312,0.9533619
0,1,49,0.00017674513,0.0017140384,0.004468384,2.6074219,0.99999726
0,1,50,0.0012255675,0.0024534282,0.01395571,2.9746094,1.0
0,1,51,0.0011424496,0.0009399438,0.004556114,2.5859375,1.0
0,1,52,0.00063124346,0.0016941032,0.014672036,2.5273438,1.565682e-06
0,1,53,0.0004583129,0.0021997981,0.0037072527,2.1523438,1.0
0,1,54,0.0012743262,0.0016549244,0.01433703,2.5703125,2.0067803e-18
0,1,55,0.0003275843,0.0007916296,0.0041339677,2.5351562,1.0
0,1,56,0.0011116682,0.00055711175,0.0068504796,2.0546875,1.0
0,1,57,0.0028783479,0.0014269596,0.011201214,1.9707031,1.0
0,1,58,0.0013096057,0.0014269596,0.061989464,2.4960938,1.0
0,1,59,0.0008934456,0.00065894006,0.020884216,1.8134766,1.0
0,1,60,0.001264422,0.0017821963,0.024987794,2.3300781,1.0
0,1,61,0.00027803096,0.0029579026,0.007577242,1.9121094,1.0
0,1,62,0.00056809356,0.005685907,0.035611413,2.1503906,1.0
0,1,63,0.0004878571,0.0015792594,0.013428255,2.1542969,9.695347e-12
0,1,64,0.0037362208,0.002157342,0.06766981,1.8847656,1.0
0,1,65,0.0020992735,0.0031603526,0.012821213,1.7060547,1.0
0,1,66,0.0018602987,0.0025509123,0.040616777,1.9384766,1.0
0,1,67,0.0016356752,0.003063417,0.012920473,2.0019531,1.0
0,1,68,0.0021827165,0.0009399438,0.01243165,1.6621094,1.0
0,1,69,0.0020269,0.0011879056,0.008219694,1.8476562,1.0
0,1,70,0.0012207952,0.001146916,0.019870713,1.5390625,0.9999806
0,1,71,0.0017821963,0.0007978335,0.018299334,0.35058594,1.0
0,1,72,0.0008295892,0.0012743262,0.011419615,2.265625,3.5167118e-15
0,1,73,0.00068785116,0.0012399962,0.010944577,2.8867188,2.1973918e-12
